actual,proposed
3.41340700096e-07,0.0
4.3012914736e-07,0.0
4.3012914736e-07,0.0
4.08454457664e-07,0.0
3.28371846176e-07,0.0
3.28371846176e-07,0.0
3.1906872025599996e-07,0.0
5.0268351584e-07,0.0
5.0268351584e-07,0.0
2.6447065216e-07,0.0
2.5383467648e-07,0.0
2.5383467648e-07,0.0
6.0750545504e-07,0.0
2.51371128448e-07,0.0
2.51371128448e-07,0.0
2.5045076249600003e-07,0.0
2.50769591424e-07,0.0
2.51316544864e-07,0.0
2.51316544864e-07,0.0
5.534484841599999e-07,0.0
3.01168031648e-07,0.0
3.01168031648e-07,0.0
4.2832154111999994e-07,0.0
3.79410179456e-07,0.0
3.79410179456e-07,0.0
4.01885338976e-07,0.0
4.0173406064e-07,0.0
4.0143557203199996e-07,0.0
4.0143557203199996e-07,0.0
3.5999393584e-07,0.0
3.81192393824e-07,0.0
3.81192393824e-07,0.0
3.56482347232e-07,0.0
3.35716713376e-07,0.0
3.35716713376e-07,0.0
4.2665899935999997e-07,0.0
3.16242041632e-07,0.0
3.16242041632e-07,0.0
2.8322205788800003e-07,0.0
5.656835219199999e-07,0.0
5.656835219199999e-07,0.0
6.1953664256e-07,0.0
2.50854394912e-07,0.0
2.50854394912e-07,0.0
2.50619073056e-07,0.0
2.5014592592e-07,0.0
2.5014592592e-07,0.0
6.1896621952e-07,0.0
2.59554597984e-07,0.0
2.59554597984e-07,0.0
2.8341933664e-07,0.0
3.0049179424e-07,0.0
3.0049179424e-07,0.0
3.1867791788799997e-07,0.0
7.710353692800001e-07,0.0
7.710353692800001e-07,0.0
4.7879727456e-07,0.0
4.677312464e-07,0.0
4.677312464e-07,0.0
3.2406242528e-07,0.0
3.42592546208e-07,0.0
3.42592546208e-07,0.0
3.4249133635199997e-07,0.0
4.5554046560000003e-07,0.0
4.5554046560000003e-07,0.0
3.0630242016e-07,0.0
3.05505750176e-07,0.0
3.0355723692799996e-07,0.0
3.0355723692799996e-07,0.0
2.75775712608e-07,0.0
2.75775712608e-07,0.0
2.6576103312e-07,0.0
2.5854916032e-07,0.0
2.5854916032e-07,0.0
2.58299220256e-07,0.0
2.61133409152e-07,0.0
2.60869834368e-07,0.0
2.60869834368e-07,0.0
5.545370265600001e-07,0.0
2.68874040864e-07,0.0
3.09892330176e-07,0.0
3.09892330176e-07,0.0
3.374392032e-07,0.0
4.04079321888e-07,0.0
4.04079321888e-07,0.0
3.36500329792e-07,0.0
4.04224609888e-07,0.0
3.36596130464e-07,0.0
3.36596130464e-07,0.0
3.3644132051199995e-07,0.0
